timestamp,Station | Dostyk St,Station | Astana Mall,Station | Seifullin St,Station | Triumphal Arch,Station | Palace of Peace,Station | Zhastar Ave,Station | Khan Shatyr,Station | Shakarim St,Station | Central Park,Station | Kosmonavtov St,Station | Kenesary St,Station | Saryarka Ave,Station | Botanical Garden,Station | Abylai Khan Ave,Station | Respublika Ave,Station | Syganak St,Station | Keruen City,Station | Turan Ave,Station | Bogenbai Batyr Ave,Station | Mangilik El Ave,Station | University Quarter,Station | Expo 2017,Station | Kabanbay Batyr Ave,Station | Mega Silk Way,Station | Baiterek,Station | Sarayshyk St,Station | River Embankment,Station | Nurly Zhol,Station | Independence Square,Station | Dostyk St,Station | Astana Mall,Station | Seifullin St,Line | Line 1,Line | Line 2,Line | Line 3,Line | Line 4,Line | Line 5,Line | Line 6,Line | Line 7,Line | Line 8,Line | Line 9,District | Esil,District | Almaty,District | Saryarka,District | Baikonur,Network | Total
2025-10-01 06:40:00,17.0,11.0,25.0,21.0,13.0,20.0,26.0,10.0,82.0,22.0,14.0,14.0,19.0,11.0,8.0,22.0,28.0,11.0,36.0,11.0,18.0,17.0,28.0,17.0,63.0,26.0,37.0,23.0,31.0,9.0,32.0,26.0,267.0,216.0,171.0,269.0,290.0,290.0,141.0,208.0,172.0,221.0,194.0,240.0,93.0,748.0
2025-10-01 06:50:00,14.0,22.0,38.0,12.0,25.0,22.0,15.0,10.0,87.0,7.0,7.0,34.0,20.0,15.0,26.0,9.0,10.0,50.0,67.0,13.0,13.0,36.0,22.0,29.0,82.0,17.0,38.0,16.0,28.0,22.0,17.0,44.0,393.0,315.0,260.0,340.0,339.0,331.0,149.0,186.0,155.0,285.0,183.0,316.0,83.0,867.0
2025-10-01 07:00:00,17.0,16.0,62.0,30.0,18.0,24.0,33.0,6.0,59.0,17.0,12.0,12.0,16.0,11.0,23.0,27.0,25.0,47.0,45.0,14.0,20.0,20.0,36.0,14.0,46.0,33.0,29.0,22.0,67.0,17.0,16.0,17.0,298.0,249.0,199.0,336.0,313.0,340.0,169.0,237.0,215.0,208.0,203.0,339.0,101.0,851.0
2025-10-01 07:10:00,13.0,19.0,17.0,25.0,11.0,50.0,35.0,12.0,34.0,21.0,36.0,41.0,19.0,30.0,26.0,39.0,13.0,26.0,68.0,28.0,25.0,34.0,31.0,34.0,57.0,25.0,18.0,28.0,30.0,22.0,33.0,21.0,338.0,254.0,201.0,306.0,387.0,355.0,223.0,282.0,191.0,291.0,261.0,231.0,138.0,921.0
2025-10-01 07:20:00,46.0,44.0,50.0,21.0,19.0,22.0,40.0,10.0,52.0,17.0,33.0,34.0,33.0,14.0,44.0,58.0,42.0,14.0,52.0,17.0,27.0,39.0,39.0,29.0,38.0,28.0,31.0,50.0,49.0,34.0,35.0,40.0,397.0,301.0,253.0,374.0,394.0,412.0,259.0,338.0,262.0,301.0,313.0,312.0,175.0,1101.0
2025-10-01 07:30:00,9.0,34.0,61.0,33.0,26.0,11.0,29.0,18.0,55.0,18.0,28.0,36.0,16.0,29.0,37.0,29.0,36.0,24.0,50.0,20.0,23.0,72.0,53.0,39.0,66.0,23.0,13.0,12.0,25.0,21.0,11.0,22.0,365.0,298.0,262.0,346.0,334.0,316.0,186.0,269.0,257.0,336.0,235.0,295.0,113.0,979.0
2025-10-01 07:40:00,14.0,20.0,17.0,31.0,33.0,31.0,23.0,11.0,49.0,10.0,43.0,25.0,12.0,48.0,29.0,27.0,21.0,39.0,49.0,12.0,12.0,25.0,70.0,23.0,71.0,12.0,9.0,6.0,30.0,22.0,20.0,13.0,273.0,271.0,241.0,330.0,371.0,310.0,182.0,237.0,191.0,235.0,253.0,279.0,90.0,857.0
2025-10-01 07:50:00,21.0,24.0,39.0,30.0,14.0,64.0,21.0,6.0,53.0,27.0,16.0,39.0,27.0,26.0,37.0,28.0,46.0,46.0,44.0,27.0,16.0,24.0,34.0,42.0,54.0,26.0,28.0,26.0,76.0,22.0,27.0,17.0,376.0,343.0,275.0,382.0,404.0,417.0,244.0,301.0,197.0,270.0,251.0,319.0,187.0,1027.0
2025-10-01 08:00:00,5.0,22.0,39.0,28.0,62.0,33.0,23.0,16.0,50.0,24.0,19.0,28.0,11.0,25.0,26.0,21.0,20.0,19.0,66.0,39.0,31.0,63.0,34.0,62.0,50.0,26.0,26.0,34.0,57.0,25.0,24.0,29.0,410.0,340.0,271.0,400.0,409.0,348.0,175.0,255.0,222.0,325.0,278.0,286.0,148.0,1037.0
2025-10-01 08:10:00,53.0,15.0,26.0,58.0,23.0,46.0,37.0,8.0,93.0,31.0,29.0,23.0,19.0,22.0,56.0,36.0,56.0,11.0,48.0,26.0,14.0,97.0,17.0,42.0,62.0,24.0,33.0,46.0,98.0,40.0,22.0,50.0,506.0,368.0,268.0,452.0,456.0,467.0,228.0,276.0,240.0,402.0,316.0,354.0,189.0,1261.0
2025-10-01 08:20:00,26.0,18.0,55.0,42.0,58.0,23.0,21.0,11.0,65.0,33.0,39.0,26.0,25.0,11.0,21.0,45.0,45.0,41.0,89.0,9.0,22.0,40.0,27.0,66.0,41.0,39.0,39.0,42.0,42.0,27.0,42.0,34.0,424.0,372.0,321.0,484.0,434.0,424.0,228.0,310.0,269.0,317.0,354.0,356.0,137.0,1164.0
2025-10-01 08:30:00,8.0,14.0,32.0,17.0,26.0,24.0,68.0,13.0,65.0,11.0,22.0,26.0,38.0,32.0,7.0,33.0,9.0,33.0,25.0,20.0,22.0,44.0,52.0,19.0,67.0,24.0,56.0,39.0,43.0,10.0,25.0,35.0,392.0,285.0,216.0,324.0,370.0,313.0,180.0,246.0,215.0,336.0,246.0,271.0,106.0,959.0
2025-10-01 08:40:00,29.0,60.0,37.0,19.0,20.0,67.0,50.0,7.0,78.0,28.0,40.0,51.0,31.0,21.0,15.0,19.0,31.0,35.0,35.0,41.0,23.0,79.0,61.0,90.0,68.0,36.0,35.0,41.0,33.0,14.0,17.0,35.0,520.0,380.0,349.0,472.0,472.0,387.0,241.0,339.0,229.0,446.0,245.0,315.0,240.0,1246.0
2025-10-01 08:50:00,28.0,11.0,40.0,42.0,33.0,42.0,56.0,23.0,48.0,19.0,14.0,39.0,33.0,44.0,43.0,56.0,38.0,23.0,91.0,39.0,9.0,29.0,23.0,34.0,27.0,41.0,20.0,51.0,22.0,54.0,50.0,33.0,427.0,344.0,253.0,370.0,450.0,460.0,299.0,329.0,245.0,302.0,374.0,298.0,181.0,1155.0
2025-10-01 09:00:00,13.0,40.0,38.0,28.0,28.0,25.0,33.0,10.0,51.0,12.0,31.0,51.0,17.0,42.0,31.0,22.0,63.0,39.0,54.0,36.0,17.0,8.0,44.0,34.0,66.0,44.0,20.0,38.0,46.0,8.0,19.0,13.0,354.0,342.0,295.0,419.0,420.0,361.0,210.0,251.0,184.0,267.0,257.0,295.0,202.0,1021.0
2025-10-01 09:10:00,20.0,8.0,32.0,43.0,19.0,23.0,43.0,4.0,28.0,18.0,23.0,22.0,15.0,39.0,29.0,22.0,26.0,16.0,74.0,29.0,13.0,57.0,21.0,35.0,54.0,28.0,16.0,13.0,30.0,6.0,12.0,12.0,310.0,245.0,179.0,302.0,321.0,302.0,170.0,187.0,165.0,294.0,212.0,225.0,99.0,830.0
2025-10-01 09:20:00,18.0,14.0,40.0,20.0,23.0,24.0,49.0,11.0,22.0,14.0,16.0,7.0,12.0,11.0,13.0,31.0,26.0,18.0,75.0,41.0,11.0,61.0,37.0,49.0,45.0,30.0,19.0,37.0,42.0,37.0,20.0,18.0,380.0,283.0,224.0,334.0,303.0,290.0,151.0,213.0,182.0,272.0,214.0,263.0,142.0,891.0
2025-10-01 09:30:00,9.0,20.0,20.0,21.0,18.0,60.0,26.0,7.0,75.0,4.0,24.0,30.0,23.0,9.0,27.0,18.0,35.0,24.0,64.0,23.0,28.0,31.0,15.0,36.0,49.0,30.0,25.0,28.0,40.0,7.0,15.0,16.0,319.0,267.0,212.0,362.0,381.0,340.0,161.0,206.0,129.0,260.0,177.0,254.0,166.0,857.0
2025-10-01 09:40:00,13.0,22.0,46.0,15.0,30.0,37.0,30.0,24.0,70.0,24.0,17.0,28.0,39.0,10.0,11.0,52.0,17.0,18.0,48.0,9.0,14.0,17.0,25.0,29.0,40.0,20.0,21.0,23.0,28.0,28.0,41.0,29.0,284.0,242.0,223.0,309.0,361.0,373.0,227.0,304.0,229.0,241.0,254.0,272.0,108.0,875.0
2025-10-01 09:50:00,16.0,19.0,34.0,20.0,22.0,39.0,17.0,11.0,35.0,9.0,25.0,20.0,26.0,15.0,13.0,28.0,19.0,20.0,67.0,27.0,17.0,32.0,20.0,33.0,24.0,18.0,19.0,58.0,40.0,29.0,18.0,25.0,324.0,232.0,192.0,297.0,317.0,312.0,170.0,212.0,164.0,214.0,196.0,243.0,162.0,815.0
2025-10-01 10:00:00,17.0,10.0,29.0,14.0,28.0,13.0,16.0,9.0,28.0,14.0,22.0,21.0,23.0,11.0,23.0,18.0,25.0,25.0,34.0,25.0,9.0,37.0,13.0,25.0,38.0,20.0,16.0,25.0,15.0,6.0,24.0,26.0,289.0,234.0,180.0,228.0,222.0,210.0,133.0,167.0,132.0,209.0,182.0,170.0,98.0,659.0
2025-10-01 10:10:00,18.0,19.0,36.0,23.0,47.0,11.0,34.0,7.0,34.0,8.0,10.0,13.0,16.0,10.0,5.0,16.0,26.0,12.0,57.0,19.0,8.0,24.0,12.0,48.0,7.0,13.0,21.0,16.0,23.0,12.0,11.0,22.0,215.0,213.0,187.0,310.0,269.0,229.0,115.0,140.0,132.0,195.0,153.0,199.0,91.0,638.0
2025-10-01 10:20:00,19.0,9.0,27.0,21.0,10.0,16.0,36.0,4.0,20.0,9.0,3.0,15.0,10.0,18.0,36.0,26.0,29.0,13.0,43.0,28.0,9.0,43.0,6.0,26.0,24.0,28.0,12.0,25.0,22.0,10.0,6.0,21.0,276.0,198.0,131.0,211.0,198.0,212.0,127.0,137.0,123.0,205.0,158.0,154.0,107.0,624.0
2025-10-01 10:30:00,7.0,14.0,29.0,15.0,10.0,16.0,30.0,3.0,12.0,25.0,9.0,20.0,17.0,30.0,16.0,20.0,11.0,10.0,24.0,12.0,11.0,26.0,25.0,10.0,29.0,13.0,10.0,22.0,30.0,15.0,9.0,13.0,193.0,140.0,116.0,160.0,204.0,197.0,131.0,165.0,141.0,171.0,157.0,140.0,75.0,543.0
2025-10-01 10:40:00,14.0,9.0,21.0,18.0,10.0,18.0,22.0,4.0,34.0,12.0,14.0,7.0,6.0,26.0,19.0,8.0,13.0,37.0,33.0,7.0,22.0,29.0,7.0,34.0,25.0,15.0,7.0,13.0,6.0,8.0,10.0,10.0,210.0,166.0,142.0,212.0,189.0,177.0,104.0,123.0,102.0,173.0,129.0,156.0,60.0,518.0
2025-10-01 10:50:00,8.0,23.0,18.0,24.0,22.0,14.0,22.0,3.0,20.0,12.0,11.0,15.0,27.0,12.0,13.0,13.0,10.0,11.0,17.0,17.0,8.0,15.0,30.0,28.0,16.0,15.0,11.0,17.0,25.0,8.0,18.0,20.0,198.0,163.0,145.0,189.0,199.0,160.0,98.0,139.0,128.0,175.0,135.0,132.0,81.0,523.0
2025-10-01 11:00:00,9.0,7.0,20.0,4.0,16.0,20.0,12.0,5.0,29.0,10.0,10.0,12.0,11.0,8.0,7.0,21.0,19.0,27.0,26.0,4.0,7.0,11.0,7.0,21.0,35.0,20.0,7.0,14.0,13.0,15.0,9.0,29.0,201.0,162.0,151.0,180.0,162.0,167.0,99.0,120.0,103.0,142.0,123.0,136.0,64.0,465.0
2025-10-01 11:10:00,8.0,16.0,19.0,14.0,13.0,21.0,33.0,6.0,19.0,16.0,4.0,20.0,18.0,4.0,13.0,9.0,15.0,15.0,21.0,10.0,7.0,19.0,17.0,18.0,31.0,13.0,16.0,14.0,37.0,4.0,14.0,10.0,181.0,153.0,130.0,191.0,202.0,172.0,95.0,137.0,98.0,170.0,106.0,142.0,76.0,494.0
2025-10-01 11:20:00,9.0,11.0,21.0,20.0,20.0,17.0,17.0,2.0,15.0,14.0,5.0,13.0,16.0,11.0,19.0,18.0,7.0,8.0,18.0,10.0,7.0,19.0,11.0,21.0,31.0,10.0,19.0,14.0,17.0,18.0,23.0,19.0,204.0,169.0,132.0,139.0,167.0,162.0,112.0,135.0,112.0,163.0,157.0,101.0,59.0,480.0
2025-10-01 11:30:00,14.0,6.0,19.0,12.0,19.0,15.0,21.0,6.0,10.0,8.0,8.0,18.0,16.0,10.0,16.0,23.0,7.0,14.0,28.0,10.0,4.0,18.0,10.0,5.0,15.0,12.0,8.0,8.0,11.0,13.0,8.0,13.0,148.0,123.0,95.0,129.0,154.0,156.0,107.0,125.0,95.0,122.0,125.0,112.0,46.0,405.0
2025-10-01 11:40:00,15.0,10.0,19.0,24.0,14.0,17.0,17.0,1.0,34.0,6.0,13.0,14.0,19.0,12.0,10.0,18.0,9.0,7.0,21.0,4.0,2.0,20.0,15.0,21.0,18.0,16.0,14.0,17.0,27.0,7.0,4.0,10.0,163.0,123.0,105.0,173.0,183.0,181.0,99.0,111.0,95.0,145.0,114.0,139.0,57.0,455.0
2025-10-01 11:50:00,5.0,7.0,11.0,4.0,16.0,27.0,9.0,1.0,40.0,17.0,10.0,22.0,1.0,15.0,13.0,9.0,10.0,11.0,18.0,7.0,19.0,12.0,15.0,13.0,17.0,7.0,15.0,8.0,21.0,5.0,9.0,11.0,120.0,108.0,80.0,155.0,194.0,177.0,98.0,135.0,87.0,108.0,116.0,122.0,59.0,405.0
2025-10-01 12:00:00,9.0,4.0,14.0,13.0,17.0,28.0,15.0,3.0,15.0,9.0,7.0,7.0,5.0,4.0,5.0,9.0,10.0,11.0,24.0,5.0,10.0,5.0,19.0,7.0,7.0,7.0,7.0,11.0,22.0,12.0,5.0,11.0,93.0,86.0,73.0,132.0,148.0,137.0,76.0,113.0,88.0,80.0,82.0,117.0,58.0,337.0
2025-10-01 12:10:00,11.0,10.0,10.0,15.0,8.0,9.0,22.0,7.0,21.0,8.0,5.0,25.0,11.0,10.0,8.0,16.0,11.0,5.0,27.0,7.0,9.0,5.0,3.0,14.0,17.0,14.0,20.0,9.0,13.0,11.0,5.0,4.0,125.0,112.0,87.0,136.0,155.0,147.0,86.0,103.0,72.0,122.0,105.0,97.0,46.0,370.0
2025-10-01 12:20:00,6.0,10.0,16.0,8.0,22.0,7.0,12.0,6.0,23.0,8.0,3.0,7.0,8.0,10.0,3.0,13.0,10.0,6.0,14.0,12.0,8.0,15.0,17.0,17.0,32.0,15.0,5.0,23.0,16.0,8.0,7.0,18.0,162.0,123.0,113.0,133.0,131.0,119.0,66.0,95.0,94.0,125.0,94.0,104.0,62.0,385.0
2025-10-01 12:30:00,11.0,11.0,12.0,11.0,14.0,8.0,3.0,8.0,16.0,15.0,10.0,8.0,4.0,13.0,7.0,8.0,8.0,6.0,19.0,8.0,8.0,12.0,8.0,9.0,23.0,18.0,5.0,8.0,17.0,8.0,9.0,9.0,117.0,92.0,83.0,113.0,128.0,121.0,69.0,95.0,79.0,87.0,107.0,97.0,43.0,334.0
2025-10-01 12:40:00,7.0,7.0,12.0,10.0,9.0,9.0,4.0,6.0,40.0,11.0,8.0,21.0,29.0,12.0,6.0,24.0,6.0,4.0,8.0,6.0,7.0,12.0,11.0,11.0,4.0,5.0,30.0,6.0,17.0,3.0,12.0,6.0,122.0,108.0,73.0,114.0,147.0,162.0,97.0,120.0,87.0,104.0,120.0,105.0,34.0,363.0
2025-10-01 12:50:00,11.0,6.0,15.0,7.0,12.0,13.0,10.0,7.0,32.0,5.0,15.0,7.0,9.0,13.0,5.0,9.0,8.0,5.0,23.0,18.0,14.0,21.0,15.0,31.0,15.0,6.0,17.0,26.0,13.0,10.0,11.0,12.0,175.0,130.0,96.0,155.0,155.0,147.0,79.0,107.0,84.0,126.0,103.0,121.0,71.0,421.0
2025-10-01 13:00:00,11.0,9.0,7.0,8.0,10.0,13.0,14.0,3.0,13.0,6.0,9.0,29.0,15.0,6.0,15.0,21.0,10.0,21.0,42.0,14.0,4.0,17.0,11.0,20.0,15.0,13.0,8.0,13.0,17.0,11.0,6.0,18.0,180.0,139.0,111.0,165.0,168.0,165.0,93.0,111.0,78.0,140.0,105.0,125.0,59.0,429.0
2025-10-01 13:10:00,19.0,11.0,10.0,8.0,13.0,22.0,19.0,6.0,30.0,5.0,11.0,6.0,5.0,2.0,16.0,9.0,9.0,12.0,19.0,8.0,6.0,19.0,15.0,12.0,11.0,5.0,12.0,22.0,16.0,12.0,9.0,23.0,157.0,110.0,85.0,152.0,158.0,142.0,77.0,107.0,82.0,109.0,94.0,127.0,72.0,402.0
2025-10-01 13:20:00,6.0,6.0,17.0,22.0,11.0,20.0,13.0,8.0,30.0,15.0,12.0,10.0,5.0,7.0,7.0,15.0,14.0,17.0,13.0,12.0,13.0,5.0,6.0,6.0,21.0,10.0,4.0,12.0,12.0,8.0,17.0,13.0,120.0,105.0,88.0,134.0,151.0,147.0,92.0,127.0,109.0,108.0,106.0,109.0,64.0,387.0
2025-10-01 13:30:00,5.0,10.0,18.0,11.0,10.0,17.0,6.0,4.0,34.0,11.0,6.0,13.0,4.0,12.0,11.0,19.0,6.0,18.0,28.0,4.0,4.0,14.0,11.0,11.0,11.0,5.0,16.0,12.0,11.0,2.0,13.0,9.0,117.0,93.0,72.0,140.0,160.0,170.0,97.0,115.0,87.0,83.0,105.0,129.0,49.0,366.0
2025-10-01 13:40:00,9.0,7.0,18.0,4.0,19.0,7.0,22.0,5.0,23.0,8.0,27.0,12.0,9.0,10.0,9.0,18.0,11.0,11.0,25.0,17.0,10.0,11.0,6.0,21.0,47.0,12.0,4.0,12.0,14.0,1.0,13.0,10.0,164.0,149.0,126.0,180.0,179.0,149.0,87.0,106.0,79.0,146.0,121.0,111.0,54.0,432.0
2025-10-01 13:50:00,4.0,8.0,23.0,11.0,3.0,8.0,6.0,2.0,18.0,8.0,5.0,15.0,16.0,16.0,12.0,21.0,11.0,18.0,13.0,9.0,3.0,22.0,5.0,33.0,16.0,31.0,7.0,11.0,15.0,12.0,13.0,15.0,202.0,137.0,117.0,130.0,120.0,146.0,100.0,102.0,88.0,137.0,128.0,98.0,47.0,410.0
2025-10-01 14:00:00,4.0,10.0,15.0,11.0,15.0,11.0,24.0,7.0,27.0,10.0,9.0,26.0,8.0,7.0,10.0,2.0,20.0,3.0,21.0,6.0,5.0,14.0,23.0,15.0,11.0,12.0,8.0,8.0,13.0,16.0,10.0,11.0,122.0,112.0,98.0,157.0,173.0,136.0,75.0,113.0,84.0,125.0,99.0,113.0,55.0,392.0
2025-10-01 14:10:00,8.0,16.0,12.0,5.0,11.0,28.0,17.0,5.0,32.0,10.0,12.0,7.0,15.0,11.0,4.0,18.0,13.0,8.0,8.0,9.0,5.0,18.0,13.0,11.0,17.0,10.0,19.0,15.0,8.0,21.0,14.0,9.0,156.0,128.0,112.0,136.0,164.0,146.0,98.0,120.0,77.0,104.0,130.0,94.0,81.0,409.0
2025-10-01 14:20:00,15.0,14.0,33.0,14.0,24.0,14.0,17.0,7.0,16.0,12.0,28.0,13.0,13.0,5.0,2.0,10.0,4.0,4.0,14.0,11.0,3.0,19.0,10.0,15.0,24.0,10.0,13.0,10.0,25.0,11.0,7.0,6.0,138.0,121.0,109.0,161.0,177.0,152.0,97.0,124.0,95.0,124.0,122.0,124.0,53.0,423.0
2025-10-01 14:30:00,7.0,8.0,29.0,21.0,1.0,13.0,16.0,7.0,38.0,9.0,6.0,23.0,12.0,6.0,17.0,17.0,16.0,23.0,35.0,11.0,7.0,2.0,18.0,19.0,23.0,9.0,25.0,7.0,25.0,14.0,15.0,20.0,182.0,161.0,116.0,187.0,186.0,208.0,110.0,145.0,128.0,143.0,119.0,182.0,55.0,499.0
2025-10-01 14:40:00,12.0,3.0,13.0,29.0,21.0,18.0,27.0,15.0,18.0,10.0,10.0,11.0,7.0,5.0,7.0,13.0,10.0,11.0,26.0,10.0,4.0,15.0,32.0,28.0,11.0,22.0,15.0,18.0,6.0,10.0,14.0,31.0,185.0,130.0,101.0,160.0,159.0,136.0,86.0,142.0,147.0,163.0,127.0,133.0,59.0,482.0
2025-10-01 14:50:00,19.0,8.0,22.0,16.0,20.0,27.0,5.0,12.0,29.0,6.0,9.0,13.0,7.0,5.0,10.0,19.0,23.0,13.0,73.0,33.0,4.0,15.0,19.0,25.0,38.0,19.0,13.0,11.0,28.0,8.0,3.0,18.0,210.0,190.0,142.0,233.0,220.0,238.0,108.0,144.0,116.0,141.0,112.0,215.0,102.0,570.0
2025-10-01 15:00:00,8.0,15.0,21.0,16.0,13.0,6.0,31.0,12.0,34.0,11.0,14.0,13.0,12.0,7.0,17.0,13.0,15.0,13.0,35.0,11.0,18.0,19.0,26.0,40.0,23.0,18.0,32.0,9.0,29.0,15.0,14.0,13.0,222.0,191.0,146.0,239.0,211.0,180.0,82.0,142.0,130.0,185.0,154.0,178.0,56.0,573.0
2025-10-01 15:10:00,24.0,11.0,23.0,28.0,16.0,32.0,64.0,4.0,20.0,17.0,15.0,20.0,13.0,16.0,10.0,14.0,19.0,34.0,32.0,13.0,7.0,12.0,9.0,20.0,19.0,8.0,41.0,18.0,16.0,9.0,12.0,22.0,219.0,194.0,141.0,247.0,254.0,209.0,141.0,162.0,124.0,205.0,158.0,162.0,93.0,618.0
2025-10-01 15:20:00,23.0,12.0,42.0,19.0,21.0,16.0,30.0,9.0,26.0,18.0,22.0,8.0,15.0,18.0,22.0,26.0,21.0,7.0,56.0,11.0,17.0,38.0,30.0,32.0,32.0,19.0,21.0,13.0,7.0,21.0,15.0,25.0,256.0,203.0,161.0,234.0,231.0,237.0,148.0,204.0,186.0,216.0,203.0,200.0,73.0,692.0
2025-10-01 15:30:00,8.0,17.0,32.0,10.0,28.0,30.0,38.0,10.0,31.0,16.0,11.0,17.0,16.0,14.0,26.0,43.0,19.0,15.0,38.0,16.0,16.0,31.0,28.0,23.0,54.0,16.0,16.0,31.0,13.0,11.0,15.0,26.0,281.0,224.0,183.0,233.0,252.0,241.0,159.0,215.0,181.0,231.0,196.0,175.0,113.0,715.0
2025-10-01 15:40:00,12.0,13.0,38.0,9.0,62.0,19.0,25.0,10.0,82.0,11.0,11.0,16.0,21.0,40.0,29.0,31.0,12.0,21.0,89.0,14.0,12.0,13.0,34.0,23.0,67.0,37.0,24.0,27.0,14.0,18.0,22.0,46.0,340.0,291.0,237.0,352.0,393.0,363.0,178.0,205.0,191.0,232.0,285.0,300.0,85.0,902.0
2025-10-01 15:50:00,15.0,26.0,35.0,25.0,18.0,15.0,42.0,17.0,21.0,19.0,23.0,31.0,15.0,39.0,24.0,31.0,23.0,33.0,57.0,32.0,17.0,26.0,37.0,69.0,58.0,15.0,33.0,19.0,41.0,18.0,23.0,27.0,369.0,323.0,260.0,353.0,336.0,308.0,189.0,240.0,208.0,310.0,243.0,256.0,115.0,924.0
